"id","url_id","hotel_id","language","event_type","status","error_message","duration_ms","worker_id","extra_data","scraped_at"
"92ab6583-8571-40c0-bfab-10266aabbce1","7793107e-04f6-4fac-bb56-07237bc49104",NULL,"it","scrape_success","done",NULL,178022,NULL,"{}","2026-03-10 20:31:57.795719+00"
"9952325a-2b12-4897-8169-820ba23b99f2","b3294503-ab5f-41da-9c24-cf78b47285ea",NULL,"it","scrape_success","done",NULL,182713,NULL,"{}","2026-03-10 20:33:32.647334+00"
"b06573e6-d918-4ef4-976e-384d798552f4","7793107e-04f6-4fac-bb56-07237bc49104",NULL,"nl","scrape_success","done",NULL,183391,NULL,"{}","2026-03-10 20:35:01.455458+00"
"01edc1c2-dfda-4cd8-8e2e-1ae6bc2b8a9e","b3294503-ab5f-41da-9c24-cf78b47285ea",NULL,"nl","scrape_success","done",NULL,179407,NULL,"{}","2026-03-10 20:36:32.4+00"
"6c5de4ee-999d-4fc4-9650-eafa94eee80c","7793107e-04f6-4fac-bb56-07237bc49104",NULL,"pt","scrape_success","done",NULL,179123,NULL,"{}","2026-03-10 20:38:00.816334+00"
"4da9ce36-7d24-4176-ba4c-fcb13dd0cf72","b3294503-ab5f-41da-9c24-cf78b47285ea",NULL,"pt","scrape_success","done",NULL,178794,NULL,"{}","2026-03-10 20:39:31.547017+00"
"2816cb06-989c-4a97-8a54-ccf7a3da300b","b561a518-5385-4f2c-a69d-c42468971f66",NULL,"es","scrape_success","done",NULL,180289,NULL,"{}","2026-03-10 20:41:01.497784+00"
"c73c6136-8976-49d2-9c8f-382568e20169","876e740a-643b-40cb-b9b5-107c82bebf4f",NULL,"es","scrape_success","done",NULL,179875,NULL,"{}","2026-03-10 20:42:31.838465+00"
"f2e98cf7-f82c-4f3a-b14b-e6cbc41066a6","b561a518-5385-4f2c-a69d-c42468971f66",NULL,"en","scrape_success","done",NULL,284890,NULL,"{}","2026-03-10 20:45:46.802526+00"
"a2c70d46-7fd4-4f3c-9269-5b863882ede6","b561a518-5385-4f2c-a69d-c42468971f66",NULL,"de","scrape_success","done",NULL,481322,NULL,"{}","2026-03-10 20:53:59.351722+00"
"85ee8cc9-0f72-4479-8dfd-a193c4bbfdc2","876e740a-643b-40cb-b9b5-107c82bebf4f",NULL,"en","scrape_failed","error",NULL,1079779,NULL,"{}","2026-03-10 21:00:31.623506+00"
"a8ec54c8-ae2f-4958-afc0-27f2812cae8c","b561a518-5385-4f2c-a69d-c42468971f66",NULL,"fr","scrape_success","done",NULL,482209,NULL,"{}","2026-03-10 21:02:01.956331+00"
"4cdcdac6-fd23-464e-853f-f152d15552bf","b561a518-5385-4f2c-a69d-c42468971f66",NULL,"it","scrape_success","done",NULL,495487,NULL,"{}","2026-03-10 21:10:17.713014+00"
"ffbf0a4e-467e-4c87-a599-b8689628a0d5","876e740a-643b-40cb-b9b5-107c82bebf4f",NULL,"de","scrape_failed","error",NULL,978775,NULL,"{}","2026-03-10 21:16:50.426325+00"
"d17370f5-4a53-4edf-8ab4-339ea6915dd5","b561a518-5385-4f2c-a69d-c42468971f66",NULL,"nl","scrape_success","done",NULL,483146,NULL,"{}","2026-03-10 21:18:21.155809+00"
"10717c65-06d5-4795-862d-d94a04c61576","b561a518-5385-4f2c-a69d-c42468971f66",NULL,"pt","scrape_success","done",NULL,507472,NULL,"{}","2026-03-10 21:26:49.089843+00"
"f5c17149-5b6a-46d1-ac7d-e8565d31f245","876e740a-643b-40cb-b9b5-107c82bebf4f",NULL,"fr","scrape_failed","error",NULL,1022181,NULL,"{}","2026-03-10 21:33:52.625183+00"
"6fb3e487-a4bd-41d4-bfbb-ee4a781224c8","a9bd0134-e34f-4fb9-8ca0-c70a22b8e1d3",NULL,"es","scrape_success","done",NULL,517205,NULL,"{}","2026-03-10 21:35:26.797712+00"
"646010bb-a42f-4a03-a240-f8c93671503c","a9bd0134-e34f-4fb9-8ca0-c70a22b8e1d3",NULL,"en","scrape_success","done",NULL,603751,NULL,"{}","2026-03-10 21:45:31.055906+00"
"933d4186-8da4-4d60-b912-93f46b2a1f97","876e740a-643b-40cb-b9b5-107c82bebf4f",NULL,"it","scrape_failed","error",NULL,1094607,NULL,"{}","2026-03-10 21:52:07.325719+00"
"00016868-5c66-46c9-929f-4699c6cab390","a9bd0134-e34f-4fb9-8ca0-c70a22b8e1d3",NULL,"de","scrape_success","done",NULL,475276,NULL,"{}","2026-03-10 21:53:36.489538+00"
"1ada0389-4348-49ad-8472-bc2c623dd49e","a9bd0134-e34f-4fb9-8ca0-c70a22b8e1d3",NULL,"fr","scrape_success","done",NULL,497160,NULL,"{}","2026-03-10 22:01:54.21945+00"
"deeb2786-5e4b-4aec-bbf3-732709404cd2","876e740a-643b-40cb-b9b5-107c82bebf4f",NULL,"nl","scrape_failed","error",NULL,1015283,NULL,"{}","2026-03-10 22:09:02.633093+00"
"97c3e5aa-9921-4207-81b2-9536fe56a54b","a9bd0134-e34f-4fb9-8ca0-c70a22b8e1d3",NULL,"it","scrape_success","done",NULL,517681,NULL,"{}","2026-03-10 22:10:32.674844+00"
"fc223183-9261-4bbb-95dd-ad009fd27ea0","a9bd0134-e34f-4fb9-8ca0-c70a22b8e1d3",NULL,"nl","scrape_success","done",NULL,491805,NULL,"{}","2026-03-10 22:18:45.787871+00"
"13c88465-2a99-42c1-9cc7-6d022ef03d8d","876e740a-643b-40cb-b9b5-107c82bebf4f",NULL,"pt","scrape_failed","error",NULL,974148,NULL,"{}","2026-03-10 22:25:16.808176+00"
"41d0d226-0010-4e12-9947-ca34a115382b","a9bd0134-e34f-4fb9-8ca0-c70a22b8e1d3",NULL,"pt","scrape_success","done",NULL,480003,NULL,"{}","2026-03-10 22:26:46.368996+00"
"aed551fd-e9d0-44fd-addf-45b41f126c43","b11d495e-e0c8-4133-b24a-54d7d724eef1",NULL,"es","scrape_success","done",NULL,177313,NULL,"{}","2026-03-10 22:28:14.630155+00"
"f7d4fc19-c8f6-43ea-887d-3e31a26e184e","329c7a66-7df2-4833-b5d9-5112df670761",NULL,"es","scrape_success","done",NULL,177828,NULL,"{}","2026-03-10 22:29:44.551302+00"
"fc3db8c5-dd02-4529-9546-999f46db3b7c","b11d495e-e0c8-4133-b24a-54d7d724eef1",NULL,"en","scrape_success","done",NULL,284753,NULL,"{}","2026-03-10 22:32:59.774742+00"
"fd99cbaa-91a7-44a7-9585-9d87c5b6d906","329c7a66-7df2-4833-b5d9-5112df670761",NULL,"en","scrape_success","done",NULL,386755,NULL,"{}","2026-03-10 22:36:11.547183+00"
